date,region,country,product,quantity,unit_price,revenue,material_cost,shipping_cost,total_cost,margin
2025-06-22,South America,Argentina,Gadget Y,3,160.69,482.07,158.48,44.24,202.72,279.35
2024-06-27,South America,Brazil,Gadget Y,30,108.38,3251.4,818.32,294.8,1113.12,2138.28
2025-01-23,Europe,UK,Widget C,40,261.32,10452.8,3004.45,560.86,3565.31,6887.49
2024-10-02,South America,Argentina,Widget C,12,159.66,1915.92,559.65,178.3,737.95,1177.97
2025-01-16,Asia,Japan,Widget C,29,70.37,2040.73,563.71,166.99,730.7,1310.03
2024-08-22,Europe,UK,Widget B,36,141.02,5076.72,1655.91,218.94,1874.85,3201.87
2024-06-02,South America,Brazil,Widget B,27,159.89,4317.03,1938.83,459.53,2398.36,1918.67
2025-06-13,Asia,Japan,Widget C,17,177.4,3015.8,1096.45,198.61,1295.06,1720.74
2024-06-16,Europe,France,Widget C,31,254.91,7902.21,2127.75,766.62,2894.37,5007.84
2024-09-23,Asia,Japan,Gadget Y,36,280.92,10113.12,3049.54,321.45,3370.99,6742.13
2024-05-04,Asia,China,Gadget Y,13,181.52,2359.76,896.65,185.15,1081.8,1277.96
2024-10-18,Asia,Japan,Gadget Y,32,236.93,7581.76,2573.14,280.95,2854.09,4727.67
2024-10-20,South America,Brazil,Widget B,41,246.16,10092.56,3204.16,876.18,4080.34,6012.22
2025-02-18,Europe,Germany,Widget B,22,83.9,1845.8,578.43,103.77,682.2,1163.6
2024-09-30,South America,Argentina,Gadget X,50,261.59,13079.5,4219.88,1083.28,5303.16,7776.34
2025-04-06,South America,Brazil,Widget B,2,55.01,110.02,32.67,5.79,38.46,71.56
2024-03-22,North America,USA,Gadget X,7,46.76,327.32,143.16,23.76,166.92,160.4
2024-02-25,Europe,Spain,Gadget Y,49,298.88,14645.12,3965.69,1254.05,5219.74,9425.38
2024-03-27,South America,Argentina,Widget B,16,226.53,3624.48,1227.37,149.97,1377.34,2247.14
2025-06-23,North America,USA,Widget A,43,119.92,5156.56,2233.07,555.78,2788.85,2367.71
2025-04-23,Asia,China,Gadget X,9,291.47,2623.23,1021.81,120.49,1142.3,1480.93
2025-04-12,South America,Argentina,Widget C,31,171.11,5304.41,2179.8,370.08,2549.88,2754.53
2025-01-09,South America,Argentina,Widget B,20,22.96,459.2,162.86,45.11,207.97,251.23
2024-05-19,Asia,Japan,Gadget X,35,22.33,781.55,339.52,90.06,429.58,351.97
2025-05-03,Asia,India,Gadget X,19,187.16,3556.04,1455.68,282.13,1737.81,1818.23
2024-07-12,South America,Argentina,Gadget X,16,65.72,1051.52,417.9,68.43,486.33,565.19
